NIVEL_ADMINISTRATIVO,GEO_COD,GEO_COD_DSG,POP_RESIDENTE_M,POP_RESIDENTE_F,POP_PRESENTE_M,POP_PRESENTE_F,POP_ATIVA_M,POP_ATIVA_F,POP_EMPREGADA_M,POP_EMPREGADA_F,POP_DESEMPREGADA_M,POP_DESEMPREGADA_F,TAXA_DESEMPREGO_M,TAXA_DESEMPREGO_F,POP_EMPREGADA_SET_PRIMARIO,POP_EMPREGADA_SET_SECUNDARIO,POP_EMPREGADA_SET_TERCIARIO,POP_DESEMPREGADA_PROC_1_EMP_M,POP_DESEMPREGADA_PROC_1_EMP_F,POP_DESEMPREGADA_PROC_NOVO_EMP_M,POP_DESEMPREGADA_PROC_NOVO_EMP_F,DENSIDADE_TOTAL,DENSIDADE_TOTAL_M,DENSIDADE_TOTAL_F,IDADE_MEDIA,M_0_14,M_15_24,M_25_64,M_65_74,M_75,F_0_14,F_15_24,F_25_64,F_65_74,F_75,COD_DISTRITO_INE,COD_CONCELHO_INE,COD_FREGUESIA_INE
6,11906,Macieira de Cambra,2291,2461,2202,2428,1197,999,1115,881,82,118,6.8499999999999996,11.811999999999999,31,1024,941,12,32,70,86,260.60000000000002,125.59999999999999,135,43.859999999999999,325,259,1264,228,215,302,228,1330,292,309,1,19,204
6,11908,Vila Chã,1939,1973,1849,1947,1060,948,1002,856,58,92,5.4719999999999995,9.7050000000000001,13,951,894,10,14,48,78,687.20000000000005,340.60000000000002,346.60000000000002,41.780000000000001,290,240,1103,158,148,253,183,1166,185,186,1,19,207
6,20603,Entradas,310,339,290,322,147,110,135,92,12,18,8.1630000000000003,16.364000000000001,27,63,137,0,3,12,15,8.5,4.0999999999999996,4.5,49.869999999999997,29,31,158,42,50,31,32,146,53,77,3,44,401
6,21001,Amareleja,1261,1303,1192,1260,576,389,469,259,107,130,18.576000000000001,33.418999999999997,155,151,422,12,26,95,104,23.600000000000001,11.6,12,44.060000000000002,197,144,637,128,155,192,145,588,156,222,3,48,423
6,21116,Boavista dos Pinheiros,822,811,799,793,409,394,373,344,36,50,8.8019999999999996,12.69,124,108,485,1,6,35,44,43.200000000000003,21.699999999999999,21.399999999999999,40.82,162,75,430,61,94,120,89,429,90,83,3,49,432
6,151101,Sesimbra (Castelo),9429,9624,8881,9291,4950,4379,4405,3843,545,536,11.01,12.24,324,1784,6140,101,98,444,438,106.3,52.600000000000001,53.700000000000003,40.579999999999998,1626,997,5301,909,596,1524,927,5474,900,799,17,256,3319
6,151204,São Lourenço,5656,5982,5393,5877,3051,2782,2676,2435,375,347,12.291,12.473000000000001,56,1124,3931,68,61,307,286,246.40000000000001,119.7,126.59999999999999,39.950000000000003,1081,578,3143,486,368,1032,520,3367,526,537,17,257,3323
6,21101,Colos,497,508,481,496,247,157,214,136,33,21,13.359999999999999,13.375999999999999,47,112,191,3,4,30,17,9.6999999999999993,4.7999999999999998,4.9000000000000004,49.600000000000001,40,51,274,60,72,51,45,228,82,102,3,49,433
6,21115,Luzianes-Gare,242,187,231,177,79,37,77,36,2,1,2.532,2.7029999999999998,37,17,59,0,0,2,1,4.5999999999999996,2.6000000000000001,2,52.149999999999999,25,18,113,43,43,17,11,86,33,40,3,49,435
6,150102,Santa Susana,180,173,172,167,69,46,64,41,5,5,7.2460000000000004,10.869999999999999,46,13,46,1,3,4,2,2.1000000000000001,1.1000000000000001,1,56.049999999999997,10,10,86,30,44,10,10,79,42,32,17,246,3252
