NUTS III,Área Metropolitana de Lisboa,"3,015"
Município,Alcochete,128
Município,Almada,70
Município,Amadora,24
Município,Barreiro,36
Município,Cascais,97
Município,Lisboa,100
Município,Loures,167
Município,Mafra,292
Município,Moita,55
Município,Montijo,349
Município,Odivelas,27
Município,Oeiras,46
Município,Palmela,465
Município,Seixal,95
Município,Sesimbra,196
Município,Setúbal,230
Município,Sintra,319
Município,Vila Franca de Xira,318
NUTS II,Alentejo,"31,605"
NUTS III,Alentejo Litoral,"5,309"
Município,Alcácer do Sal,"1,500"
Município,Grândola,826
Município,Odemira,"1,721"
Município,Santiago do Cacém,"1,060"
Município,Sines,203
NUTS III,Baixo Alentejo,"8,543"
Município,Aljustrel,458
Município,Almodôvar,778
Município,Alvito,265
Município,Barrancos,168
Município,Beja,"1,146"
Município,Castro Verde,569
Município,Cuba,172
Município,Ferreira do Alentejo,648
Município,Mértola,"1,293"
Município,Moura,958
Município,Ourique,663
Município,Serpa,"1,106"
Município,Vidigueira,317
NUTS III,Lezíria do Tejo,"4,275"
Município,Almeirim,222
Município,Alpiarça,95
Município,Azambuja,263
Município,Benavente,521
Município,Cartaxo,158
Município,Chamusca,746
Município,Coruche,"1,116"
Município,Golegã,84
Município,Rio Maior,273
Município,Salvaterra de Magos,244
Município,Santarém,553
NUTS III,Alto Alentejo,"6,084"
Município,Alter do Chão,362
Município,Arronches,315
Município,Avis,606
Município,Campo Maior,247
Município,Castelo de Vide,265
Município,Crato,398
Município,Elvas,631
Município,Fronteira,249
Município,Gavião,295
Município,Marvão,155
Município,Monforte,420
Município,Nisa,576
Município,Ponte de Sor,840
Município,Portalegre,447
Município,Sousel,279
NUTS III,Alentejo Central,"7,393"
Município,Alandroal,543
Município,Arraiolos,684
Município,Borba,145
Município,Estremoz,514
Município,Évora,"1,307"
Município,Montemor-o-Novo,"1,233"
Município,Mora,444
Município,Mourão,279
Município,Portel,601
Município,Redondo,370
Município,Reguengos de Monsaraz,464
Município,Vendas Novas,222
Município,Viana do Alentejo,394
Município,Vila Viçosa,195
NUTS II,Algarve,"4,997"
NUTS III,Algarve,"4,997"
Município,Albufeira,141
Município,Alcoutim,575
Município,Aljezur,324
Município,Castro Marim,301
Município,Faro,203
Município,Lagoa,88
Município,Lagos,213
Município,Loulé,764
Município,Monchique,395
Município,Olhão,131
Município,Portimão,182
Município,São Brás de Alportel,153
Município,Silves,680
Município,Tavira,607
Município,Vila do Bispo,179
Município,Vila Real de Santo António,61
NUTS I,Região Autónoma dos Açores,"2,322"
NUTS II,Região Autónoma dos Açores,"2,322"
