,COD_ACIDENTE,DISTRITO,LATITUDE,LONGITUDE,VIA,KM,QT_FLIGEIROS,QT_FGRAVES,QT_MORTOS,QT_VIAS_SENTIDO,VEL_LIM_LOCAL,BERMA_VIA,CONDICAO_ADERENCIA,FAIXA_RODAGEM,FATOR_ATMOSFERICO,INTERSECAO_VIA,LOCALIZACAO,LUMINOSIDADE,PERFIL_VIA,PLANTA_VIA,SITUACAO_ACIDENTE,TIPO_NATUREZA,DIA_SEMANA,FLAG_FERIADO,QT_VEICULOS,COD_FREGUESIA,DATA,HORA,GRAVIDADE,ERA_DIA,MAU_TEMPO,ESTRADA_SECA,DENSIDADE_TOTAL,COD_DISTRITO_INE,COD_CONCELHO_INE,COD_FREGUESIA_INE,TOTAL
48,2007281233,Braga,41.580695,-8.788546,EN(d)13,49.95,2,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Em cruzamento,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,SÁBADO       ,1,2,3,2007-04-25,19,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
141,2007295665,Braga,41.383826,-8.315731,EN106,2.0,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,SÁBADO       ,0,2,3,2007-09-26,18,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
179,2007294594,Braga,41.591925,-8.785815,EN(d)13,51.25,1,0,0,1.0,50,Berma não pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Em plena via,Atropelamento,QUINTA-FEIRA ,0,1,3,2007-09-02,21,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
336,2008333100,Braga,41.598228999999996,-8.785133,EN(d)13,51.95,1,0,0,2.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Despiste,SÁBADO       ,0,1,3,2008-07-13,15,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
438,2009366736,Braga,41.601334,-8.78452,EN(d)13,52.3,1,0,0,1.0,50,Sem berma ou impraticável,Húmido,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, sem iluminação",Em patamar,Recta,Em plena via,Despiste,QUINTA-FEIRA ,0,1,3,2009-03-02,20,ligeiro,Nao,Nao,Nao,141.3,1,1,3,4013
442,2009366756,Braga,41.521423999999996,-8.569497,EN103,26.4,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Colisão,QUINTA-FEIRA ,0,2,3,2009-03-13,14,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
490,2009353258,Braga,41.594174,-8.785523,EN(d)13,51.5,1,0,0,1.0,50,Berma pavimentada,Molhado,Reversível,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, sem iluminação",Em patamar,Recta,Em plena via,Atropelamento,QUARTA-FEIRA ,0,1,3,2008-12-06,20,ligeiro,Nao,Nao,Nao,141.3,1,1,3,4013
509,2008341765,Braga,41.596875,-8.785217,EN(d)13,51.8,1,0,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Na berma,Despiste,QUARTA-FEIRA ,0,1,3,2008-09-06,9,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
521,2008337334,Braga,41.589233,-8.786181,EN(d)13,50.95,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,TERÇA-FEIRA  ,0,2,3,2008-08-02,13,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
539,2009351465,Braga,41.587003,-8.786478,EN(d)13,50.7,1,0,0,1.0,50,Berma não pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Em entroncamento,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Em plena via,Colisão,SEXTA-FEIRA  ,0,2,3,2008-12-24,18,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
636,2009388210,Braga,41.388676000000004,-8.317202,EN106,1.45,7,1,0,3.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Em entroncamento,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Em plena via,Colisão,TERÇA-FEIRA  ,0,2,3,2009-05-30,0,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
648,2009394646,Braga,41.371045,-8.486458,EN204,43.68,1,0,0,1.0,50,Berma pavimentada,Com óleo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Curva,Em plena via,Despiste,SEGUNDA-FEIRA,0,1,3,2009-07-14,6,ligeiro,Sim,Nao,Nao,141.3,1,1,3,4013
685,2009373796,Braga,41.372581,-8.486202,EN204,43.4,4,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Em entroncamento,Dentro das localidades,Em pleno dia,Em patamar,Curva,Em plena via,Colisão,QUINTA-FEIRA ,0,2,3,2009-04-22,13,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
710,2009383172,Braga,41.472874,-7.950197,EN210,2.2,1,0,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Curva,Em plena via,Atropelamento,TERÇA-FEIRA  ,0,1,3,2009-05-13,15,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
711,2009389598,Braga,41.581189,-8.788029,EN(d)13,50.02,1,0,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Aurora ou crepúsculo,Com inclinação,Curva,Na berma,Despiste,TERÇA-FEIRA  ,0,1,3,2009-06-16,21,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
712,2009390953,Braga,41.438369,-8.167347,ER207,49.2,1,0,0,1.0,50,Berma não pavimentada,Húmido,Dois sentidos,Chuva,Em entroncamento,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,QUINTA-FEIRA ,0,2,3,2009-06-07,14,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
713,2009389605,Braga,41.371897,-8.486912,EN204,43.5,1,0,0,1.0,50,Sem berma ou impraticável,Molhado,Dois sentidos,Chuva,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com inclinação,Curva,Em plena via,Colisão,QUARTA-FEIRA ,0,2,3,2009-06-28,2,ligeiro,Nao,Sim,Nao,141.3,1,1,3,4013
714,2009389631,Braga,41.526112,-8.564141000000001,EN103,27.1,1,0,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Em cruzamento,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,QUINTA-FEIRA ,0,2,3,2009-06-18,17,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
733,2009418035,Braga,41.526544,-8.563443,EN103,27.18,2,0,0,1.0,50,Berma não pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Em cruzamento,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,SEXTA-FEIRA  ,0,2,3,2009-09-12,16,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
808,2010433236,Braga,41.599452,-8.784947,EN(d)13,52.09,5,1,1,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Em cruzamento,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Em plena via,Colisão,DOMINGO      ,1,2,3,2009-12-25,19,grave,Nao,Nao,Sim,141.3,1,1,3,4013
821,2010433750,Braga,41.375081,-8.486432,EN204,43.0,2,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Aurora ou crepúsculo,Em patamar,Curva,Em plena via,Colisão,TERÇA-FEIRA  ,0,2,3,2009-12-04,17,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
837,2010432524,Braga,41.473194,-7.946797999999999,A7,75.98,1,0,0,2.0,120,Berma pavimentada,Molhado,Sentido único,Chuva,Fora da intersecção,Fora das localidades,Em pleno dia,Com inclinação,Recta,Na berma,Despiste,SEXTA-FEIRA  ,0,1,3,2009-12-29,12,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
840,2010433073,Braga,41.388676000000004,-8.317202,EN106,1.45,1,0,0,1.0,50,Berma pavimentada,Molhado,Dois sentidos,Chuva,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Na berma,Atropelamento,TERÇA-FEIRA  ,0,1,3,2009-12-21,18,ligeiro,Nao,Sim,Nao,141.3,1,1,3,4013
867,2010452574,Braga,41.435452000000005,-8.167119,ER207,48.86,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,No passeio,Despiste,DOMINGO      ,0,1,3,2010-03-09,15,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
973,2010470394,Braga,41.591476,-8.785879,EN(d)13,51.2,1,0,0,2.0,50,Berma não pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em Lomba,Recta,Em plena via,Colisão,TERÇA-FEIRA  ,0,2,3,2010-06-04,19,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1061,2011500381,Braga,41.726363,-8.411835,EN101,67.85,1,0,0,1.0,50,Berma não pavimentada,Molhado,Dois sentidos,Chuva,Fora da intersecção,Dentro das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Despiste,TERÇA-FEIRA  ,0,1,3,2010-10-30,11,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
1062,2010496311,Braga,41.434159,-8.167847,ER207,48.7,1,0,0,2.0,50,Berma não pavimentada,Molhado,Dois sentidos,Chuva,Em entroncamento,Dentro das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Colisão,DOMINGO      ,0,2,3,2010-10-06,10,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
1095,2011506730,Braga,41.484257,-7.968567999999999,EN206,77.5,1,0,0,1.0,50,Berma pavimentada,Molhado,Dois sentidos,Chuva,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Em plena via,Colisão,SEXTA-FEIRA  ,0,2,3,2010-11-19,18,ligeiro,Nao,Sim,Nao,141.3,1,1,3,4013
1138,2011527252,Braga,41.383826,-8.315731,EN106,2.0,1,0,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,QUINTA-FEIRA ,0,3,3,2011-03-23,10,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1148,2011527185,Braga,41.378265999999996,-8.491647,EN204,42.25,1,0,0,1.0,50,Sem berma ou impraticável,Molhado,Dois sentidos,Chuva,Fora da intersecção,Dentro das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Colisão,QUINTA-FEIRA ,0,2,3,2011-03-28,14,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
1149,2011519159,Braga,41.487176,-7.964728999999999,EN206,77.98,1,0,0,1.0,50,Berma pavimentada,Húmido,Dois sentidos,Chuva,Em entroncamento,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Em plena via,Colisão,QUINTA-FEIRA ,0,2,3,2011-01-03,17,ligeiro,Nao,Sim,Nao,141.3,1,1,3,4013
1175,2011529307,Braga,41.484905,-7.960575,EN210,0.35,0,1,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com inclinação,Recta,Em plena via,Colisão,DOMINGO      ,0,2,3,2011-04-06,21,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
1182,2011529006,Braga,41.583765,-8.787672,EN(d)13,50.32,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Despiste,QUARTA-FEIRA ,0,1,3,2011-03-11,13,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1185,2011529660,Braga,41.721952,-8.416887,EN101,68.78,3,0,0,1.0,50,Berma não pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Com inclinação,Recta,Em plena via,Colisão,QUINTA-FEIRA ,0,2,3,2011-04-09,13,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1226,2011549126,Braga,41.596415,-8.785246,EN(d)13,51.75,3,0,0,2.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Em plena via,Colisão,SÁBADO       ,0,2,3,2011-06-29,0,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
1300,2011561933,Braga,41.582775,-8.788089,EN(d)13,50.2,2,0,0,1.0,50,Berma não pavimentada,Seco e limpo,Sentido único,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Curva,Na berma,Despiste,SEXTA-FEIRA  ,0,1,3,2011-08-19,14,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1311,2011573857,Braga,41.593275,-8.785649000000001,EN(d)13,51.4,2,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Na berma,Colisão,SEXTA-FEIRA  ,0,2,3,2011-10-15,23,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
1331,2011573826,Braga,41.5264,-8.563676,EN103,27.15,2,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Em cruzamento,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,TERÇA-FEIRA  ,0,2,3,2011-10-07,15,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1390,2012579522,Braga,41.47592,-7.955903999999999,A7,75.15,1,0,0,2.0,120,Berma pavimentada,Húmido,Sentido único,Nevoeiro,Fora da intersecção,Fora das localidades,"Noite, sem iluminação",Com inclinação,Curva,Em plena via,Despiste,QUARTA-FEIRA ,0,1,3,2011-11-11,22,ligeiro,Nao,Sim,Nao,141.3,1,1,3,4013
1477,2012622372,Braga,41.446471,-8.256277,EN101,115.7,1,0,0,2.0,50,Berma pavimentada,Húmido,Dois sentidos,Bom tempo,NÃO DEFINIDO,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Em plena via,Colisão,QUARTA-FEIRA ,0,3,3,2012-07-30,20,ligeiro,Nao,Nao,Nao,141.3,1,1,3,4013
1478,2012612580,Braga,41.374046,-8.48526,EN204,43.2,3,0,0,1.0,50,Berma pavimentada,Molhado,Dois sentidos,Chuva,Em via de aceleração,Dentro das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Colisão,TERÇA-FEIRA  ,0,2,3,2012-04-18,13,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
1481,2012608638,Braga,41.713651,-8.419966,EN101,69.9,1,0,0,2.0,50,Berma não pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Fora das localidades,"Noite, sem iluminação",Com inclinação,Recta,Em plena via,Colisão,SÁBADO       ,0,2,3,2012-03-12,19,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
1568,2012636953,Braga,41.597326,-8.785188,EN(d)13,51.85,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,QUARTA-FEIRA ,0,2,3,2012-08-11,19,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1629,2013667889,Braga,41.385052,-8.316586000000001,EN106,1.85,0,1,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Em plena via,Atropelamento,QUINTA-FEIRA ,0,1,3,2012-12-09,18,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
1647,2007278024,Braga,41.581886,-8.787939,EN(d)13,50.1,1,0,0,1.0,50,Berma pavimentada,Húmido,Dois sentidos,Chuva,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Em patamar,Curva,Em plena via,Despiste,SÁBADO       ,0,1,3,2007-03-05,0,ligeiro,Nao,Sim,Nao,141.3,1,1,3,4013
1663,2007299460,Braga,41.592376,-8.785762,EN(d)13,51.3,4,0,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,DOMINGO      ,0,2,3,2007-10-14,12,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1700,2011529681,Braga,41.529962,-8.557212,EN103,27.82,2,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Em cruzamento,Dentro das localidades,Em pleno dia,Em patamar,Curva,Em plena via,Colisão,QUINTA-FEIRA ,0,3,3,2011-04-26,19,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1755,2008301960,Braga,41.370637,-8.484199,EN204,43.9,1,0,0,1.0,50,Berma não pavimentada,Molhado,Dois sentidos,Chuva,Fora da intersecção,Fora das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Despiste,QUINTA-FEIRA ,0,1,3,2007-11-20,7,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
1794,2007295633,Braga,41.375565,-8.487197,EN204,42.9,1,0,0,1.0,80,Berma pavimentada,Molhado,Dois sentidos,Chuva,Fora da intersecção,Fora das localidades,Em pleno dia,Com inclinação,Recta,Em plena via,Colisão,TERÇA-FEIRA  ,0,2,3,2007-09-17,8,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
1802,2008306168,Braga,41.379915000000004,-8.312827,EN106,2.5,1,0,0,3.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,NÃO DEFINIDO,Dentro das localidades,Em pleno dia,Em patamar,NÃO DEFINIDO,Em plena via,Colisão,DOMINGO      ,0,3,3,2007-12-21,19,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1821,2009359333,Braga,41.438449,-8.167403,ER207,49.21,1,0,0,1.0,50,Sem berma ou impraticável,Molhado,Dois sentidos,Chuva,Em entroncamento,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,SEGUNDA-FEIRA,0,2,3,2009-02-05,8,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
1918,2011529025,Braga,41.386185,-8.317060000000001,EN106,1.72,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Despiste,DOMINGO      ,0,1,3,2011-03-03,16,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1945,2010476392,Braga,41.598265000000005,-8.785131,EN(d)13,51.95,0,0,1,2.0,50,Berma não pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Despiste,SEGUNDA-FEIRA,0,1,3,2010-07-24,14,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1951,2011568434,Braga,41.430381,-8.167844,ER207,48.27,1,0,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Fora das localidades,Em pleno dia,Com inclinação,Recta,Na berma,Despiste,SÁBADO       ,0,1,3,2011-09-06,19,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
1982,2008337399,Braga,41.374046,-8.48526,EN204,43.2,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com inclinação,Curva,Em plena via,Colisão,QUARTA-FEIRA ,0,2,3,2008-08-08,23,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
2006,2012630937,Braga,41.474664000000004,-7.95147,A7,75.55,2,0,0,2.0,120,Berma pavimentada,Seco e limpo,Sentido único,Bom tempo,Fora da intersecção,Fora das localidades,"Noite, sem iluminação",Com inclinação,Curva,Em plena via,Despiste,DOMINGO      ,0,1,3,2012-07-22,5,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
2012,2007279233,Braga,41.373818,-8.485764999999999,EN204,43.25,1,0,0,1.0,50,Berma pavimentada,Molhado,Dois sentidos,Chuva,Fora da intersecção,Dentro das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Colisão,SÁBADO       ,0,2,3,2007-04-03,18,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
2038,2013655775,Braga,41.523009,-8.567008999999999,EN103,26.67,2,0,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Sol escandeante,Com inclinação,Curva,Em plena via,Despiste,TERÇA-FEIRA  ,0,1,3,2012-10-28,14,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
2064,2010457457,Braga,41.479659999999996,-7.954932,EN210,1.25,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Sentido único,Bom tempo,Em rotunda,Dentro das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Colisão,SÁBADO       ,0,2,3,2010-04-23,18,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
2070,2011527028,Braga,41.585229999999996,-8.786788,EN(d)13,50.5,1,1,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Em patamar,Curva,Em plena via,Colisão,QUARTA-FEIRA ,0,2,3,2011-03-22,0,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
2120,2008338444,Braga,41.374046,-8.48526,EN204,43.2,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Curva,Em plena via,Colisão,SEXTA-FEIRA  ,0,2,3,2008-08-27,19,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
2157,2008308782,Braga,41.477166,-7.960738,EN205,108.5,1,0,0,2.0,50,Sem berma ou impraticável,Molhado,Dois sentidos,Chuva,Fora da intersecção,Dentro das localidades,Em pleno dia,Com inclinação,Recta,Na berma,Despiste,DOMINGO      ,0,1,3,2008-01-13,13,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
2162,2008347733,Braga,41.374445,-8.485099,EN204,43.15,3,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Colisão,SEXTA-FEIRA  ,0,2,3,2008-11-15,13,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
2188,2007291975,Braga,41.469842,-7.952941,EN210,2.7,1,0,0,1.0,70,Berma não pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Fora das localidades,"Noite, sem iluminação",Em patamar,Curva,Em plena via,Colisão,SEXTA-FEIRA  ,0,2,3,2007-08-11,21,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
2212,2011513934,Braga,41.378482,-8.489942999999998,EN204,42.4,2,0,0,1.0,50,Berma pavimentada,Molhado,Sentido único,Chuva,Em via de aceleração,Dentro das localidades,Em pleno dia,Com inclinação,Recta,Em plena via,Colisão,SEXTA-FEIRA  ,0,2,3,2010-12-06,12,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
2228,2011555099,Braga,41.718901,-8.418549,EN101,69.18,1,0,0,1.0,50,Berma não pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Em entroncamento,Dentro das localidades,Em pleno dia,Em patamar,Curva,Em plena via,Colisão,TERÇA-FEIRA  ,0,2,3,2011-07-02,8,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
2284,2012636869,Braga,41.371897,-8.486912,EN204,43.5,4,0,0,1.0,50,Sem berma ou impraticável,Molhado,Dois sentidos,Chuva,Fora da intersecção,Dentro das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Colisão,DOMINGO      ,0,2,3,2012-08-14,13,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
2349,2007287813,Braga,41.590578,-8.786007000000001,EN(d)13,51.1,0,1,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Atropelamento,TERÇA-FEIRA  ,0,1,3,2007-07-05,12,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
2409,2012636241,Braga,41.474160999999995,-7.949811,A7,75.7,2,1,1,2.0,120,Berma pavimentada,Seco e limpo,Sentido único,Bom tempo,Fora da intersecção,Fora das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Despiste,SEXTA-FEIRA  ,0,1,3,2012-08-12,17,grave,Sim,Nao,Sim,141.3,1,1,3,4013
2433,2008344649,Braga,41.49034,-7.960780000000001,EN206,78.7,1,0,0,1.0,50,Berma pavimentada,Molhado,Dois sentidos,Chuva,Fora da intersecção,Dentro das localidades,Em pleno dia,Com inclinação,Recta,Em plena via,Colisão,QUARTA-FEIRA ,0,2,3,2008-10-21,17,ligeiro,Sim,Sim,Nao,141.3,1,1,3,4013
2460,2012645487,Braga,41.377947,-8.488344999999999,EN204,42.6,1,0,0,1.0,50,Berma não pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Em plena via,Colisão,SEXTA-FEIRA  ,0,2,3,2012-09-21,22,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
2552,2012600572,Braga,41.53032,-8.556536999999999,EN103,27.89,1,0,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com inclinação,Curva,Na berma,Despiste,SEGUNDA-FEIRA,0,1,3,2012-02-25,21,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
2578,2007282893,Braga,41.375081,-8.486432,EN204,43.0,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Em entroncamento,Dentro das localidades,Em pleno dia,Com inclinação,Recta,Em plena via,Colisão,DOMINGO      ,0,2,3,2007-05-30,16,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
2655,2007272866,Braga,41.373024,-8.486157,EN204,43.35,1,0,0,1.0,90,Sem berma ou impraticável,Húmido,Dois sentidos,Bom tempo,Em entroncamento,Fora das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Colisão,TERÇA-FEIRA  ,0,2,3,2007-01-16,8,ligeiro,Sim,Nao,Nao,141.3,1,1,3,4013
